id,type,name,character,order,job,department,gender
101,crew,Bruno Tarrière,,,Sound Re-Recording Mixer,Sound,0
101,crew,Pascal Chaumeil,,,First Assistant Director,Directing,2
101,crew,Peter Bucossi,,,Stunt Coordinator,Crew,2
680,cast,John Travolta,Vincent Vega,0,,,2
680,cast,Samuel L. Jackson,Jules Winfield,1,,,2
680,cast,Uma Thurman,Mia Wallace,2,,,1
680,cast,Bruce Willis,Butch Coolidge,3,,,2
680,cast,Ving Rhames,Marsellus Wallace,4,,,2
680,cast,Harvey Keitel,Wolf,5,,,2
680,cast,Eric Stoltz,Lance,6,,,2
680,cast,Tim Roth,Pumpkin,7,,,2
680,cast,Amanda Plummer,Honey Bunny,8,,,1
680,cast,Maria de Medeiros,Fabienne,9,,,1
680,cast,Quentin Tarantino,Jimmie Dimmick,10,,,2
680,cast,Christopher Walken,Captain Koons,11,,,2
680,cast,Rosanna Arquette,Jody,12,,,1
680,cast,Peter Greene,Zed,13,,,2
680,cast,Duane Whitaker,Maynard,14,,,2
680,cast,Angela Jones,Esmarelda Villalobos,15,,,1
680,cast,Phil LaMarr,Marvin,16,,,2
680,cast,Steve Buscemi,Buddy Holly,17,,,2
680,cast,Bronagh Gallagher,Trudi,18,,,0
680,cast,Laura Lovelace,Waitress,19,,,0
680,cast,Frank Whaley,Brett,20,,,2
680,cast,Burr Steers,Roger,21,,,0
680,cast,Paul Calderon,Paul,22,,,2
680,cast,Jerome Patrick Hoban,Ed Sullivan,23,,,2
680,cast,Michael Gilden,Page for Phillip Morris,24,,,2
